"topnav_shop_button","Shop"
"popup_invite_candy_friends","Candy Friends"
"popup_collaboration_panel_free_creditcard","A valid credit card or PayPal account is required to claim the offer."
"popup.like","Please like us to keep this sweet world alive!"
"game_swipe_end_lose_message_reason_a","You only need {0} more {1}."
"booster_name_CandyExtraTime","Extra Time"
"popup_item_unlocked_purchase_amount_CandyAntiPeppar","3"
"map_decoration_text_episode_name_episode9","Peppermint Palace"
"map_level_miniature_level","Level {0}"
"map_decoration_text_episode_name_episode1","Candy Town"
"map_decoration_text_episode_name_episode2","Candy Factory"
"map_decoration_text_episode_name_episode3","Lemonade Lake"
"map_decoration_text_episode_name_episode4","Chocolate Mountains"
"booster_info_bubble_recipe_title","Ingredients:"
"map_decoration_text_episode_name_episode5","Minty Meadow"
"map_decoration_text_episode_name_episode6","Easter Bunny Hills"
"map_decoration_text_episode_name_episode7","Bubblegum Bridge"
"map_decoration_text_episode_name_episode8","Salty Canyon"
"cutscene_button_next","NEXT"
"booster_name_CandyYetiShopPackSale","Big Sale"
"tutorial_introduceBoosterCandyColorBomb","Start your game with a Color Bomb on the board. Click to toggle on or off!"
"tooltip_ingame_gui_order_13","Switch Color Bombs with other Color Bombs."
"game_swipe_end_win_message","Level completed!"
"booster_description_tipster_CandyCharmOfFrozenTime","Buy this to make the time stand still during time levels!"
"popup_pay_with_mobile_description","This is the minimum carrier price point, the remainder will be added to your Candy Bank."
"popup_mission_content_ccs_5","1. Search for Candy Crush Saga in the AppStore and Google Play with your mobile device.     "
"popup_mission_content_ccs_1","Connect with your mobile device and get:"
"popup_shop_gifts_header","Send gifts to friends!"
"cutscene_crunchy_castle_resolution_vampire_dancing","Oh yeah! Do the monster boogie!"
"facebook_friend_passed_share_name","Hey, you're falling behind! I just completed level {0}!"
"cutscene_circus_introduction_no_candyfloss","We're out of cotton candy! The children will be really disappointed!"
"booster_description_CandyYetiShopPack3","6 Free Switches and 6 Lollipop Hammers"
"popup_hard_currency_formal_description","Gold Bars can be used to buy moves, lives and boosters. If you run out, top them up at the Candy Bank."
"booster_description_tipster_CandySweetTeeth","These are teeth that gladly chew candy. Especially chocolate, licorice and marmalade!"
"popup_booster_received_message_multi","You got {0} from {1} and {2} other friends!"
"map_decoration_text_episode_name_episode22","Savory Shores"
"map_decoration_text_episode_name_episode27","Licorice Tower"
"cutscene_delicious_drifts_introduction_sad_polarbear","My Jelly Fish is frozen solid in this ice cube!"
"popup_select_country_title","Please select your country!"
"popup_game_over_fail_reason_lights_unlit","Out of moves! You failed 
to remove all the jelly!"
"popup_hard_currency_funny_description","Gold Bars can be used to buy moves, lives and boosters. If you run out, top them up at the Candy Bank."
"cutscene_sodaswamp_introduction_girl_howdy","Howdy Mr Snappy! Gosh, whatcha doin?"
"booster_name_CandyYetiShopPack3","Lollipop Hammers"
"booster_name_CandyYetiShopPack1","Bombalicious Fishes"
"popup_mission_accomplished_content_ccs","As a reward for installing Candy Crush Saga's mobile App, we're giving you 1 Lollipop Hammer and 1 Color Bomb!"
"booster_description_CandyYetiShopPackSale","3 Color Bombs, 3 Lollipop Hammers, 3 Jelly Fish and 3 Free Switches"
"popup_life_received_title","You got a gift!"
"booster_description_CandyYetiShopPack5Offer","3 Bomb Coolers, 3 Color Bombs, 3 Lollipop Hammers, 3 Striped & Wrapped and 3 Sweet Teeth"
"popup_welcome_description","The sweetest game ever!"
"booster_description_CandyStripedWrapped","Start the level with a Striped & Wrapped Candy!"
"booster_description_CandySweetTeeth","Gobbles up all the chocolate, licorice and jelly in its path!"
"social_share_invite_title","Invite your friends!"
"tutorial_popCharmShop","Here you can buy really awesome boosters!"
"cutscene_jellyJungle_introduction_dino_no_place","I've got no place to hide, and that monster wants to eat me!"
"map_decoration_text_episode_name_episode1210","Sparkle Submarino"
"facebook_episode_complete_share_name","I just completed episode {0}! Happy days! "
"map_decoration_text_episode_name_episode1209","Bonbon Baths"
"cutscene_liquoriceTower_introduction_girl_dont_worry","Don't worry! I will investigate!"
"popup_no_more_lives_message","You are out of lives! Refill by asking your friends, or buy more lives with Gold Bars."
"cutscene_Pyramid_resolution_finally_rest","Thank you!
Now I can finally get some rest!"
"facebook_send_life_scorelist_title","Give a life to your friend! It's free!
"
"popup_game_over_fail_reason_uncollected_ingredients","Out of moves! 
You did not collect all the ingredients!"
"tooltip_topnav_lifecounter_max","You have a full set of lives."
"booster_name_CandyQuantifiedHardCurrency","gold bars"
"cutscene_sodaswamp_introduction_croc_shoot","Aw shoot! "
"cutscene_dragon_resolution_hurray_lemonade","Hurray! Three cheers for the lemonade!"
"popup_select_country_drop_down","Country"
"game_swipe_intro_mode_classic_header","Get {0} points
in {1} seconds!"
"popup_game_start_game_mode_light_up_score","Clear all the jelly and get {0} points to complete the level!"
"cutscene_PolkaPalace_resolution_Thank_you","Thank you for saving my precious Peppermint Palace!"
"cutscene_userepisode_introduction_girl_hi_mrs_baker","Hi, Miss Baker! Are you here? It's so dark!"
"cutscene_soursalong_introduction_phantom_no","NO! My organ sounds so corny! I'm never going out again!"
"game_swipe_intro_mode_drop_down_header","Collect all the ingredients."
"popup_life_received_accept_send_message","Do you want to send a life back?"
"cutscene_caramel_cove_introduction_angry_volcano","Help! The volcano is angry! We're drowning in fudge!"
"cutscene_soursalong_introduction_phantom_this_is_no","This groove just isn't right!"
"booster_info_bubble_label_top_seller","Top
Seller"
"tooltip_topnav_lifecounter","Wait to gain more lives for free, or click the button to request lives from friends or the shop."
"booster_description_tipster_CandyStripedWrapped","Provides you with a Wrapped and a Striped Candy on the board from the start!"
"popup_charms_shop_box_message_CandyGiftPack3","Contains 4 boosters: Color Bomb, Bomb Cooler, Striped & Wrapped Candy, plus some chomping Sweet Teeth."
"charm_panel_icon_already_bought","You already have {0}!"
"cutscene_soursalong_introduction_girl_excuse_me","Excuse me, mister? Are you OK?"
"ingame_ui_sign_moves_left","moves:"
"popup_episode_complete_header","Episode {0} is completed!"
"facebook_send_booster_gift_message","Here's a {0} booster! Have a great day!"
"popup_candy_bank_desc","This is where you buy Gold Bars, the in-game currency for Candy Crush Saga."
"cutscene_delicious_drifts_introduction_little_girl","Why so down, Mr Bear?"
"facebook_send_life_scorelist_message","Here's a life! Have a great day!"
"tutorial_introduceCharmCandyCharmOfFrozenTime","Keep this charm activated to make time stand still while you're planning your moves!"
"tutorial_idOrderMode1","Collect all orders by removing the wanted items!"
"tutorial_idColorBomb1","Match 5 candies to create another special candy!"
"facebook_send_lives_accepted_title","Send lives to your friends! It's free!"
"booster_description_tipster_CandyFreeSwitch","Switch any two candies without losing moves!"
"popup_hard_currency_formal_subtitle","You have received free Gold."
"facebook_send_life_accepted_title","Send a life! It's free!"
"popup_no_more_lives_message_xmission","You're out of lives! Look at our sweet offer and get free lives, or use your gold to buy some more."
"cutscene_liquoriceTower_introduction_guard_the_candy","The Candy Jewels are gone! I can't find them!"
"popup_booster_received_message","You got {0} from {1}!"
"cutscene_soursalong_introduction_girl_dont","Don't worry! I'll turn this into a swell jam!"
"popup_collaboration_panel_message","You need help from your friends to get a ticket! Ask as many as you can, or get instant access for {0} Gold Bars!"
"daily_bonus_popup_description","Celebrate King's new look with a free Candy Crush booster every day this week!"
"popup_booster_received_message_2","You got {0} from {1} and {2}!"
"tooltip_ingame_gui_order_12","Switch Striped Candies with Color Bombs."
"tooltip_topnav_hardcurrency","Buy Gold Bars for your saga journey!"
"tooltip_ingame_gui_order_11","Switch Striped Candies with Wrapped Candies."
"tooltip_ingame_gui_order_10","Switch Striped Candies with other Striped Candies."
"tooltip_ingame_gui_order_15","Switch Wrapped Candies with other Wrapped Candies."
"tooltip_ingame_gui_order_14","Switch Wrapped Candies with Color Bombs."
"booster_name_CandyHardCurrencyX250Case2.header","250 gold bars"
"booster_name_CandyHardCurrencyX250Case1.header","250 gold bars"
"booster_name_CandyHardCurrencyX1000Case2.header","1000 gold bars"
"booster_name_CandyHardCurrencyX500Case1.header","500 gold bars"
"booster_name_CandyHardCurrencyX1000Case1.header","1000 gold bars"
"booster_name_CandyHardCurrencyX500Case2.header","500 gold bars"
"booster_name_CandyHardCurrencyX500Case2","500 gold bars"
"booster_name_CandyHardCurrencyX500Case1","500 gold bars"
"booster_name_CandyHardCurrencyX250Case2","250 gold bars"
"booster_name_CandyHardCurrencyX250Case1","250 gold bars"
"booster_name_CandyHardCurrencyX1000Case2","1000 gold bars"
"booster_name_CandyHardCurrencyX1000Case1","1000 gold bars"
"tutorial_introduceBoosterCandyMoonStruck","Click here to set off Moonstruck!"
"map_decoration_text_episode_name_episode1211","Cookie Cabana"
"map_decoration_text_episode_name_episode1212","Dizzy Dessert"
"booster_description_CandyMoonStruck","Release the Moonstruck effect and it removes at least one candy color for 5 moves."
"bank_light_pop_title","Get missing gold bars"
"booster_name_CandyMoonStruck","Moonstruck"
"champion_title_episode37","Donut Doctor"
"cutscene_stickysavanna_introduction_giraffe_sob_my_spots","I can't believe it... my life is over!"
"cutscene_stickysavanna_introduction_girl_whats_the_matter","What's the matter?"
"cutscene_stickysavanna_introduction_giraffe_spots_fallen_off","My beautiful spots have fallen off!"
"cutscene_stickysavanna_resolution_giraffe_thanks_I_think","Oh... uh... thank you, I think?"
"map_decoration_text_episode_name_episode1213","Cotton Carnival"
"map_decoration_text_episode_name_episode37","Sticky Savannah"
"popup_life_with_purchase_title","Live Forever!"
"popup_life_with_purchase_description","Or...for a limited time only: With each purchase you get at least 2 full hours of unlimited lives to get into the candy zone. 
 
 {0} days left"
"popup_life_with_purchase_subtitle","*Unlimited lives for 24 hours maximum"
"booster_description_CandyAntiPeppar_detailed","Click to increase the countdown of all visible bombs. It'll keep you alive for longer!"
"booster_description_CandyAntiPepparPostGame_detailed","You're so close! Increase the countdown of all bombs by 5 now!"
"booster_description_CandyBubbleGum_detailed","Unleash the Bubblegum Troll to remove all the chocolate and put a stop to the pesky chocolate spawners for 5 moves!"
"booster_description_CandyCoconutLiquorice_detailed","Add Coconut Wheels to the candy mix. Activate to roll over 3 candies and change them into Striped Candy!"
"booster_description_CandyColorBomb_detailed","Start a level with a Color Bomb in the mix. Combine it with another candy type to clear those candies fast!!"
"booster_description_CandyExtraMoves_detailed","Get 5 extra moves!"
"booster_description_CandyExtraMovesPostGame_detailed","Don't give up! Get 5 extra moves now!!"
"booster_description_CandyExtraMovesVariable_detailed","Start the level with 3 extra moves!"
"booster_description_CandyExtraTimePostGame_detailed","You're so close! Add an extra {0} seconds now!!"
"booster_description_CandyExtraTime_detailed","Start the game with {0} bonus seconds!"
"booster_description_CandyFreeSwitch_detailed","Don't miss that epic Candy Crush! Switch two candies that don't match and make impossible moves come true!"
"booster_description_CandyHammer_detailed","Smash items on the board that are giving you a hard time. Revenge is sweet!"
"booster_description_CandyJoker_detailed","Add Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"booster_description_CandyShuffle_detailed","No good moves to make? Shuffle things up with this booster!"
"booster_description_CandyStripedWrapped_detailed","Start the game with a Wrapped candy to blow up surrounding candies, and a Striped Candy to clear a whole line of candies!"
"booster_description_CandySwedishFish_detailed","Add Jelly Fish to the candy mix. Clears 3 pieces of any candy, but they like jelly best!"
"booster_description_CandySweetTeeth_detailed","Gobbles up all the candy in its path, but its favorites are chocolate, licorice and jelly.!"
"popup_candy_bank_lite_title","Buy missing 
Gold Bars"
"champion_title_episode38","Whacky Warlock"
"cutscene_jellywagon_introduction_Franky_magical_words","Jelly-ja-joob, candy appear!"
"cutscene_jellywagon_introduction_Franky_oh_dear","I never should have made it dissapear! "
"cutscene_jellywagon_introduction_girl_what_has_your_cape_a_flutter","What has your cape in a flutter Mr.Magician?"
"cutscene_jellywagon_introduction_Franky_made_candy_dissapear","I made my candy disappear. I'm trying to make them re-appear..."
"cutscene_jellywagon_introduction_Franky_all_I_get_are_veggies","But all I get are vegetables and fruit!"
"cutscene_jellywagon_resolution_girl_allow_me","Allow me!"
"cutscene_jellywagon_resolution_Franky_masterfully_done","Masterfully done young lady!"
"map_decoration_text_episode_name_episode1214","Tiki Fiesta"
"map_decoration_text_episode_name_episode38","Jelly Wagon"
"popup_booster_help_received_message_2","You got help from {1} and {2} for level {3}!"
"popup_booster_help_received_message_multi","You got help from {1} and {2} other friends for level {3}!"
"popup_booster_help_received_message","You got help from {1} for level {2}!"
"booster_description_CandyMoonStruck_detailed","Don't risk tipping Odus! Zap the candies with the Moonstruck effect and remove at least one candy color for 5 moves."
"map_decoration_text_episode_name_episode1215","Sweet Dreams"
"tooltip_powerup_pregame_button_activate","Use now or uncheck to use later."
"popup_spring_promo_title","Spring Sale!"
"popup_spring_promo_message","It's the Spring Sale in Candy Crush, get your special package now!"
"popup_spring_promo_day_left","Only {0} day left"
"popup_spring_promo_days_left","Only {0} days left"
"popup_spring_promo_button_label","Show offers"
"popup_candy_bank_tab_bank","Bank"
"popup_candy_bank_tab_seasonal","Spring
Sale!"
"popup_candy_bank_title_seasonal","Big Spring Sale!"
"booster_name_CandyHardCurrencyPromoX100","100 Gold Bars"
"booster_name_CandyHardCurrencyPromoX500","500 Gold Bars"
"booster_name_CandyHardCurrencyPromoX100.header","100 Gold Bars"
"booster_name_CandyHardCurrencyPromoX500.header","500 Gold Bars"
"champion_title_episode39","Bubblegum Buster"
"cutscene_biscuitbungalow_introduction_gumtroll_huff"," I'll huff, and I'll puff!"
"cutscene_biscuitbungalow_introduction_pig_no","No! My beautiful house!"
"cutscene_biscuitbungalow_introduction_girl_hi","Hi Mr.Piggy! What happened?"
"cutscene_biscuitbungalow_introduction_pig_that","That ruffian covered my house with gum!"
"cutscene_biscuitbungalow_introduction_girl_dont","Don't you worry. I know how to fix this!"
"cutscene_biscuitbungalow_resolution_pig_wow","Wow! That's great! Thanks little girl!"
"map_decoration_text_episode_name_episode39","Biscuit Bungalow"
"popup_collaboration_panel_collab_description","The Tooth Fairy will unlock the next episode in:"
"popup_collaboration_panel_collab_time","{0} hours"
"popup_candy_bank_pane_recommended","Recommended"
"map_decoration_text_episode_name_episode1216","Sleepy Sunrise"
"map_decoration_text_episode_name_episode1217","Funny Farm"
"map_decoration_text_episode_name_episode40","Gummy Gardens"
"popup_collaboration_panel_toothfairy_description","Time left until the Toothfairy unlocks it:"
"popup_collaboration_panel_toothfairy_hours_left_singular","1 hour"
"popup_collaboration_panel_toothfairy_hours_left_plural","{0} hours"
"popup_collaboration_panel_toothfairy_minutes_left_singular","1 minute"
"popup_collaboration_panel_toothfairy_minutes_left_plural","{0} minutes"
"champion_title_episode40","Balloon Botanist"
"cutscene_gummygardens_introduction_Snail_panting","*Pant* *pant*"
"cutscene_gummygardens_introduction_girl_what_is_wrong","Hi Mr Snail! What’s wrong?"
"cutscene_gummygardens_introduction_Snail_late_to_date","I won’t make it to the green house in time for my date!"
"cutscene_gummygardens_resolution_girl_just_a_second","Just a second!"
"cutscene_gummygardens_resolution_Snail_brilliant","Brilliant! Thanks little girl!"
"popup_collaboration_panel_unlock_button","Unlock now!"
"booster_description_MoonstruckPostGame_detailed","Now's your chance to reset the Moon Scale and freeze it for 5 moves!"
"booster_name_CandyHardCurrencyX150Discounted.header","150 Gold Bars"
"booster_name_CandyHardCurrencyX150Discounted","150 Gold Bars"
"booster_name_CandyHardCurrencyX200Discounted.header","200 Gold Bars"
"booster_name_CandyHardCurrencyX200Discounted","200 Gold Bars"
"map_decoration_text_episode_name_episode1218","Marshmallow Madness"
"booster_name_CandyHardCurrencyX9ABPricingTestCase1","9 Gold Bars"
"booster_name_CandyHardCurrencyX45ABPricingTestCase1","45 Gold Bars"
"booster_name_CandyHardCurrencyX100ABPricingTestCase1","100 Gold bars"
"booster_name_CandyHardCurrencyX150ABPricingTestCase1","150 Gold bars"
"booster_name_CandyHardCurrencyX200ABPricingTestCase1","200 Gold Bars"
"booster_name_CandyHardCurrencyX250ABPricingTestCase1","250 Gold Bars"
"booster_name_CandyHardCurrencyX500ABPricingTestCase1","500 Gold Bars"
"map_decoration_text_episode_name_episode1219","Blooming Bakery"
"booster_name_CandyHardCurrencyX1000ABPricingTestCase1","1000 Gold Bars"
"popup_collaboration_panel_toothfairy_refresh","Click \"{0}\" to refresh the page and get your unlock ticket!"
"cutscene_waferwindmill_introduction_dutch_where","Where is it? "
"cutscene_waferwindmill_introduction_girl_hi","Hi there! Looking for something?"
"cutscene_waferwindmill_introduction_dutch_yes","Yes! I lost my wafer! Soon I’ll eat the windmill!"
"cutscene_waferwindmill_introduction_girl_hold_on","Hold on! I’ll find it for you!"
"cutscene_waferwindmill_resolution_dutch_terrific","Terrific! Thank’s a lot!"
"popup_notification_central_send_lives_header","Send lives to your friends"
"popup_notification_central_send_lives_description","Help your friends by sending them lives!"
"map_decoration_text_episode_name_episode41","Wafer Windmill"
"champion_title_episode41","Wafer Vagabond"
"map_decoration_text_episode_name_episode1221","Jurassic Jaws"
"map_decoration_text_episode_name_episode1220","Funky Fortress"
"map_decoration_text_episode_name_episode1222","Coral Corral"
"popup_candy_bank_title_starter_packs","Starter Pack!"
"popup_candy_bank_tab_starter_packs","Starter pack"
"popup_candy_bank_description_amount_starter_pack","{0} gold bars"
"popup_life_with_purchase_description_first_part","Or...for a limited time only: With each purchase you get at least 2 full hours of unlimited lives to get into the candy zone.

{0}"
"popup_life_with_purchase_description_sec_part_hours","{0} hours left"
"popup_life_with_purchase_description_sec_part_minutes","{0} minutes left"
"popup_candy_bank_original_price_starter_pack","Original price: {0}"
"popup_candy_bank_pitch_text_starter_pack","only:"
"map_decoration_text_episode_name_episode1223","Zany Ziggurat"
"popup_purchase_confirm_button","Confirm"
"popup_purchase_confirm_bought","You have bought {0} gold bars."
"popup_purchase_fail_purchase_failed","Purchase failed."
"popup_purchase_fail_no_money_taken","No money has been drawn from you account."
"popup_candy_bank_redeem_button","Redeem game cards"
"popup_life_with_purchase_description_sec_part_minute","{0} minute left"
"CandyHardCurrencyX9FBGiftCard","9 Gold Bars"
"CandyHardCurrencyX45FBGiftCard","45 Gold Bars"
"CandyHardCurrencyX100FBGiftCard","100 Gold Bars"
"CandyHardCurrencyX150FBGiftCard","150 Gold Bars"
"CandyHardCurrencyX200FBGiftCard","200 Gold Bars"
"CandyHardCurrencyX250FBGiftCard","250 Gold Bars"
"CandyHardCurrencyX500FBGiftCard","500 Gold Bars"
"CandyStarterPack50WithBoosters","Starter Pack"
"CandyStarterPack100","Starter Pack"
"map_decoration_text_episode_name_episode1224","Moonshot Molars"
"cutscene_cerealsea_introduction_dexter_cant_move","Boohoo! Someone help me! "
"cutscene_cerealsea_introduction_girl_hi_there","Hi there! What’s the matter?"
"cutscene_cerealsea_introduction_dexter_sea_clogged","The sea is clogged up with trash, I can’t move!"
"cutscene_cerealsea_resolution_girl_dont_fret","Don’t fret, I’ll take care of this!"
"cutscene_cerealsea_resolution_dexter_whee","Whee! I'm free again!"
"champion_title_episode42","Milky Marine"
"map_decoration_text_episode_name_episode42","Cereal Sea"
"episode_42_description","Free Dexter the whale from the cereal blockade."
"episode_42_title","Cereal Sea"
"life_with_purchase_tooltip","Get {0} hours unlimited lives with this purchase"
"share_popup_message","Add message (optional)"
"cutscene_taffytropics_introduction_monkey_moan","Ouuuu!"
"cutscene_taffytropics_introduction_girl_rumbling","What’s that rumbling?"
"cutscene_taffytropics_introduction_monkey_tummy","It’s my tummy, I can’t get to the bananas!"
"cutscene_taffytropics_resolution_monkey_flute","Mad flute skills, thank you!"
"map_decoration_text_episode_name_episode43","Taffy Tropics"
"champion_title_episode43","Taffy Tamer"
"frog_jump_mode_description_m","Pick my landing square. I'm about to smash some candy!"
"map_decoration_text_episode_name_episode1227","Fanciful Fort"
"popup_purchase_confirm_header","Purchase Complete"
"popup_life_with_purchase_description_unlimited","With each purchase you get at least 2 full hours of unlimited lives to get into the candy zone."
"map_decoration_text_episode_name_episode1225","Bonkers Bakery"
"candy_crush_saga","Candy Crush Saga"
"frog_tutorial_1","Match candies to feed the Candy Frog!"
"frog_tutorial_2","The Candy Frog will help you when it's full."
"frog_tutorial_3","Keep feeding the Candy Frog!"
"tooltip_topnav_lifeHeart_unlimited","You have unlimited lives."
"tooltip_topnav_lifecounter_unlimited","You have unlimited lives. Play all you want before the time expires."
"map_decoration_text_episode_name_episode1226","Candy Kaiju"
"frog_tutorial_4","The Candy Frog is full, just tap it!"
"popup_collaboration_panel_buy_out_desc","Get instant access to the next episode."
"popup_collaboration_panel_golden_ticket_desc","... or use a Golden Ticket"
"popup_collaboration_panel_golden_ticket_button","Golden Ticket?!"
"popup_golden_ticket_title","Golden Ticket!"
"popup_golden_ticket_desc","No more waiting! This ticket instantly unlocks all available episodes, forever."
"popup_golden_ticket_offer_end_message","Offer ends in: {0}"
"booster_name_CandyCharmOfGoldenTicket","Golden Ticket"
"map_decoration_text_episode_name_episode45","Fizzy Falls"
"champion_title_episode45","Star Catcher"
"champion_title_episode44","Raging Royalty"
"map_decoration_text_episode_name_episode44","Glazed Grove"
"map_decoration_text_episode_name_episode46","Crunchy Courtyard"
"champion_title_episode46","Nutty Knight"
"map_decoration_text_episode_name_episode47","Choco Rio Grande"
"champion_title_episode47","Munchy Mole"
"map_decoration_text_episode_name_episode48","Toffee Tower"
"champion_title_episode48","Clockwork King"
"sale_tag","Sale"
"map_decoration_text_episode_name_episode1229","Bubbly Bog"
"map_decoration_text_episode_name_episode1228","Rambunctious Riffs"
"bank_ad_tiltle1_m","Mega Candy Starter Pack!"
"share_popup_button","Add message"
"champion_title_episode51","Marmalord"
"map_decoration_text_episode_name_episode51","Marmalade Meadow"
"booster_resell_title","{0} sale"
"booster_resell_offer_time","Offer ends in: {0} min"
"offer_tag","Offer"
"map_decoration_text_episode_name_episode1230","Jiggly Gym"
"map_decoration_text_episode_name_episode49","Boneyard Bonanza"
"champion_title_episode49","Candy Conjurer"
"map_decoration_text_episode_name_episode50","Marshmallow Mountains"
"champion_title_episode50","Bubblegum Billy"
"map_decoration_text_episode_name_episode1231","Starlight Station"
"facebook_friend_beaten_opengraph_message","I beat your score in Candy Crush Saga. Hope you're not too sour about it!"
"sodapromo_hud_1_day_left","1 Day Left"
"sodapromo_hud_x_days_left","{0} Days Left"
"sodapromo_hud_bubble_tip1","What's this? A new game!"
"sodapromo_hud_bubble_tip2","Sweet! Play this new game!"
"sodapromo_hud_bubble_tip3","Pssst... Here's a secret new game!"
"sodapromo_popup_title","New Game!"
"sodapromo_popup_desc","Stay up to date and get 3 Lollipop Hammers NOW!"
"sodapromo_popup_placeholder","Enter Your Email"
"sodapromo_popup_send","Send"
"sodapromo_popup_thanks","Thanks! Have fun with your Lollipop Hammers!"
"sodapromo_popup_comingsoon","Coming Soon!"
"generic_server_error_title_m","Server Error!"
"generic_server_error_description_m","The server could not be contacted..."
"generic_email_error_title_m","Email Error!"
"generic_email_error_description_m","The email could not be sent..."
"generic_email_invalid_title_m","Invalid Email!"
"generic_email_invalid_description_m","The email is not a valid one!"
"booster_wheel_server_error_description_m","The server could not be contacted. Try again later or restart the app!"
"champion_title_episode54","Peppermint Pillager"
"map_decoration_text_episode_name_episode54","Fudge Fjord"
"champion_title_episode52","Dr. Bubblestein"
"map_decoration_text_episode_name_episode52","Chewy Citadel"
"tooltip_soda_promo_portal","Discover a sodalicious new adventure in the Candy Kingdom!"
"was_price","Was {0}."
"you_save","You save {0}."
"cutscene_soda_synergy_tiffi","Hi! Here is 10 free Gold Bars, have fun!"
"cutscene_soda_synergy_kimmi1","Wait!"
"cutscene_soda_synergy_kimmi2","Have some sweets as well!"
"cutscene_soda_synergy_both","Thanks for playing the sweetest games!"
"popup_booster_wheel_paid_description","Get up to {0} Gold Bars! Get three stars in a row to collect your shiny golden prize.
"
"popup_booster_wheel_paid_legal","Each turn of the wheel is a new chance to win. If you miss the star field on the second or third try, you will collect your earnings and the prize ladder will go back to the first step."
"no_more_lives_popup_soda_title","Continue Playing!"
"no_more_lives_popup_soda_description","Pop over to Candy Crush Soda Saga for more candy swapping fun!"
"map_decoration_text_episode_name_episode1233","Extraordinary Estate"
"map_decoration_text_episode_name_episode1232","Snoozy Slopes"
"map_decoration_text_episode_name_episode1235","Gelato Grotto"
"map_decoration_text_episode_name_episode1234","Sprinkle Springs"
"no_more_live_popup_soda_title","Continue Playing!"
"no_more_live_popup_soda_description","Pop over to Candy Crush Soda Saga for more candy swapping fun!"
"CCS_welc_d01_a","[username], Get Your Sugar Crush On!"
"CCS_welc_d01_b","[username], Welcome to a Sweet New World!"
"CCS_welc_d07_a","SHHH! You didn’t get these sweet tips from us [username] ;)"
"CCS_welc_d07_b","Need help on tricky levels? Check out these tips & tricks! "
"CCS_welc_d16_a","[username]: Invite + Friends = Extra Lives!"
"CCS_welc_d16_b","[username], invite your friends, they can get you lives! "
"CCS_welc_d21_a","You’re not alone... Candy Fans Unite!"
"CCS_welc_d21_b","Want the Sweetest Updates [username]? Like our Fan Page!"
"CCS_miss_you_a","[username], Sugar Crush Craving?"
"CCS_miss_you_b","[username], show your friends you’ve still got it!"
"popup_halloween_card_title","Send a Spooky Surprise!"
"popup_halloween_card_description","Greet your friends with a deliciously spooky card to celebrate Halloween."
"tooltip_soda_promo_button","Sign up to experience our next delicious game as soon as it is released!"
"champion_title_episode53","Eggnog Empress"
"map_decoration_text_episode_name_episode53","Eggnog Emporium"
"sodapromo_hud_countdown","{0} : {1} : {2}"
"facebook_halloween_card_share_prompt","Happy Halloween, {0}!"
"facebook_halloween_card_share_description","Click on the image and celebrate with me!"
"facebook_halloween_card_share_name","Celebrate Halloween with some sweet and deliciously spooky candies."
"map_decoration_text_episode_name_episode1236","Sweet Beat"
"preloader_tips_fish","Swedish Fish eat 3 pieces of any candy but jelly is its favorite."
"preloader_tips_wrapped","Wrapped candy blow up surrounding candies with a sugary blast!"
"preloader_tips_striped","Striped Candy clears a whole line of candies when matched. "
"preloader_tips_lucky","Match Lucky Candies to reveal exactly the candy you need!"
"preloader_tips_hammer","Lollipop Hammers will smash any item on the board that gives you a hard time."
"preloader_tips_switch","Free Switch can swap two candies that don’t match!"
"preloader_tips_teeth","Sweet Teeth’s favorite candies are chocolate, licorice and jelly."
"preloader_tips_troll","The Bubblegum Troll can halt the Chocolate Spawners for 5 moves!"
"preloader_tips_chocolate","Chocolate multiplying is only a nightmare in Candy Crush!"
"preloader_tips_pepperbomb","Remove Candy Bombs before they hit 0!"
"preloader_tips_spawner","Chocolate Spawners create Chocolate out of thin air! Where can I buy one?"
"preloader_tips_marmelade","Marmalade covers candies. It's easy to remove but you might get sticky!"
"preloader_tips_cake","Destroy a Cake Bomb for a divine explosion!"
"preloader_tips_icing","Icing can come in many layers. Be prepared for deliciousness!"
"preloader_tips_troll_2","The Bubblegum Troll knows everything about the Candy Kingdom."
"preloader_tips_toffee","Mr. Toffee adopted Tiffi and Kimmy"
"preloader_tips_odus","Odus carries Tiffi off to Dreamworld whenever she falls asleep!"
"preloader_tips_fish_2","Tiffi eats 500 Swedish Fish a day because it’s good for her joints. "
"preloader_tips_yeti","The Yeti bathes in a big bath of soda, five times a day."
"preloader_tips_toffee_2","Mr. Toffee’s favorite candy is actually jelly, not toffee!"
"preloader_tips_minty","When Minty eats too much candy, his take-off is a bit slow."
"preloader_tips_troll_3","The Bubblegum Troll is mischievous, be ready for anything!"
"preloader_tips_dreamworld","Access Dreamworld by completing Level 50!"
"preloader_tips_dreamworld_2","Go far in Reality to access even more levels in Dreamworld."
"preloader_tips_dreamworld_3","Tiffi’s slumbers unlock a whole new Dreamworld of fun! "
"preloader_tips_dreamworld_4","In Dreamworld, don’t let Odus tip over! It ruffles his feathers. "
"preloader_tips_soda","Tiffi regularly sends home messages-in-a-bottle to recount her adventures."
"preloader_tips_soda_2","The Candy Kingdom is one of the vastest lands known to man."
"preloader_tips_soda_3","A giant Candy Factory has produced every piece of candy in the Candy Kingdom!"
